    4    2   10 1     113.300   6.813
    0    7   13 1      64.700   6.811
    2    8   11 1     209.700   6.808
    1    8   12 1      80.600   6.806
    3   11    4 1     236.900   6.804
    5    1    6 1     155.600   6.798
    2    1   14 1      82.500   6.797
    3    9    8 1     144.100   6.792
    4    6    8 1     303.300   6.787
    4    7    7 1     575.000   6.783
    5    5    3 1     396.000   6.779
    2    5   13 1     180.800   6.778
    2   10    9 1     500.300   6.772
    2   13    0 1     124.000   6.767
    0    2   15 1      90.300   6.767
    2   13    1 1     197.700   6.752
    0   14    0 1     127.700   6.747
    5    2    6 1     240.000   6.746
    2    2   14 1     286.100   6.745
    1   11    9 1     119.300   6.744
    3    4   12 1     108.300   6.742
    1   13    5 1      79.700   6.736
    3    6   11 1     236.800   6.733
    0   14    1 1      66.200   6.733
    2    7   12 1     191.500   6.730
    4    5    9 1     213.200   6.728
    4    3   10 1     135.900   6.726
    1    0   15 1      91.100   6.724
    5    6    0 1     399.200   6.721
    1    5   14 1     120.900   6.718
    4    8    6 1     425.100   6.714
    4    9    4 1     200.600   6.714
    2   13    2 1     275.800   6.709
    0   12    8 1      17.700   6.708
    1    1   15 1     215.100   6.707
    5    6    1 1     391.900   6.706
    5    4    5 1     439.500   6.700
    1    7   13 1      75.200   6.699
    0   14    2 1      54.200   6.689
    0   13    6 1      40.000   6.687
    3   10    7 1     382.400   6.684
    0    3   15 1     146.100   6.682
    5    5    4 1     279.700   6.677
    3   11    5 1     271.100   6.673
    2   12    6 1     325.800   6.673
    5    6    2 1     422.800   6.664
    5    3    6 1     361.100   6.661
    2    3   14 1      39.200   6.661
    2   11    8 1     673.700   6.660
    1    2   15 1     130.600   6.657
    3    0   13 1     303.900   6.654
    3   12    0 1     306.400   6.644
    0    6   14 1     218.400   6.642
    1   14    0 1     164.200   6.639
    2   13    3 1     162.100   6.638
    3    1   13 1     130.300   6.638
    0   10   11 1      28.200   6.636
    3   12    1 1      64.600   6.630
    5    0    7 1     132.600   6.628
    0    9   12 1     128.400   6.627
    1   14    1 1      91.700   6.625
    4   10    0 1     115.700   6.623
    0   14    3 1     261.500   6.619
    5    1    7 1     147.600   6.612
    4    4   10 1     279.000   6.610
    4   10    1 1     278.100   6.610
    1   12    8 1     265.000   6.601
    5    6    3 1     362.300   6.595
    2    6   13 1     116.800   6.594
    3    5   12 1      61.700   6.592
    3    2   13 1     255.200   6.589
